forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
2;16;768;1;1;1;60;1024;16777216;write;60.79804;44921.0;738.85605
4;8;96;1;0;1;60;512;16777216;write;61.17601;9584.0;156.66272
2;32;1536;0;0;1;60;128;16777216;write;61.07934;1898.125;31.07638
2;8;192;0;0;1;60;8192;16777216;write;62.88647;33320.0;529.8437
2;32;768;1;0;1;60;8192;16777216;write;66.23442;46192.0;697.40177
2;16;384;1;0;1;60;8192;16777216;write;63.15244;46360.0;734.09677
1;16;768;1;1;1;60;1024;16777216;write;60.83995;22638.0;372.09101
2;16;768;1;0;1;60;1024;16777216;write;60.82699;32520.0;534.63113
4;8;384;1;0;1;60;4096;16777216;write;60.74554;71320.0;1174.07792
1;8;192;1;1;1;60;8192;16777216;write;62.48381;18936.0;303.05452
2;8;192;1;1;1;60;1024;16777216;write;60.17373;36844.0;612.29375
2;32;1536;0;0;1;60;1024;16777216;write;62.29567;42472.0;681.78095
4;8;192;1;1;1;60;1024;16777216;write;60.66118;36842.0;607.34063
4;8;96;0;0;1;60;8192;16777216;write;61.26076;44648.0;728.81885
2;8;192;1;1;1;60;8192;16777216;write;60.75983;39456.0;649.37641
8;16;768;1;1;1;60;1024;16777216;write;62.14529;67711.0;1089.55963
4;8;96;1;0;1;60;512;16777216;write;60.54451;10623.0;175.45769
4;32;1536;0;0;1;60;1024;16777216;write;61.22204;47447.0;774.99864
4;16;384;1;0;1;60;8192;16777216;write;62.14434;78240.0;1259.00441
1;32;1536;1;0;1;60;4096;16777216;write;70.19453;24128.0;343.73049
8;32;1536;1;1;1;60;512;16777216;write;60.96517;26179.5;429.41733
1;16;768;1;1;1;60;1024;16777216;write;61.0431;22644.0;370.95104
2;8;96;1;1;1;60;32;16777216;write;60.61102;454.625;7.5007
8;32;384;1;1;1;60;4096;16777216;write;60.68744;144244.0;2376.83446
2;32;1536;1;1;1;60;512;16777216;write;64.57287;7523.0;116.50403
1;32;768;1;0;1;60;1024;16777216;write;60.31175;11277.0;186.9785
1;16;384;1;0;1;60;8192;16777216;write;62.24294;20096.0;322.8639
2;32;1536;1;0;1;60;4096;16777216;write;64.89883;36612.0;564.13957
2;8;384;1;0;1;60;4096;16777216;write;60.98965;39796.0;652.50419
8;16;768;0;0;1;60;128;16777216;write;61.38081;4764.75;77.62606
1;16;768;1;0;1;60;1024;16777216;write;62.07281;10560.0;170.12279
2;32;1536;1;0;1;60;1024;16777216;write;61.90178;56590.0;914.19018
8;8;96;1;0;1;60;512;16777216;write;61.99873;19735.0;318.31299
1;16;768;0;0;1;60;128;16777216;write;61.23717;861.625;14.07029
8;16;192;1;1;1;60;128;16777216;write;60.59932;4705.0;77.64114
1;16;384;1;0;1;60;128;16777216;write;61.82638;918.625;14.85814
8;16;384;1;0;1;60;8192;16777216;write;61.82347;130552.0;2111.69002
2;32;1536;1;0;1;60;4096;16777216;write;64.745;35836.0;553.49452
2;16;192;1;1;1;60;128;16777216;write;61.7159;1640.375;26.57946
8;16;192;1;0;1;60;32;16777216;write;61.1695;1915.40625;31.31309
8;8;96;0;0;1;60;4096;16777216;write;60.43804;85016.0;1406.66377
8;32;1536;1;0;1;60;1024;16777216;write;60.41902;114008.0;1886.95546
1;32;1536;0;0;1;60;1024;16777216;write;61.32887;17061.0;278.18872
2;8;384;1;0;1;60;4096;16777216;write;62.29973;47868.0;768.34999
1;8;96;1;1;1;60;32;16777216;write;61.17352;426.34375;6.96942
1;16;384;1;0;1;60;8192;16777216;write;63.61838;23536.0;369.95595
4;8;192;1;1;1;60;8192;16777216;write;60.92415;76336.0;1252.96775
8;32;1536;1;1;1;60;512;16777216;write;60.75303;34979.0;575.75727
2;8;96;1;1;1;60;6144;16777216;write;61.15807;51426.0;840.8702
1;32;1536;1;1;1;60;512;16777216;write;64.16022;4575.5;71.31366
4;16;192;1;0;1;60;32;16777216;write;60.57682;1427.53125;23.56563
1;16;768;0;0;1;60;128;16777216;write;63.45243;1131.625;17.83423
4;8;96;0;0;1;60;8192;16777216;write;61.21524;82176.0;1342.41075
4;16;384;1;0;1;60;8192;16777216;write;62.01629;71776.0;1157.37333
1;32;1536;1;0;1;60;4096;16777216;write;76.96651;24336.0;316.18946
