forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
1;32;1536;1;1;1;60;128;131072;write;60.18268;14399.375;239.26111
2;8;96;0;0;1;60;128;131072;write;60.13587;77090.5;1281.93878
4;8;96;1;0;1;60;128;131072;write;60.18701;16615.125;276.05831
8;16;192;0;0;1;60;4096;131072;write;28.75;130560.0;4541.21668
1;8;96;1;1;1;60;1024;131072;write;61.7752;3091.0;50.03626
1;16;192;1;0;1;60;4096;131072;write;64.32409;6752.0;104.96845
1;32;1536;0;0;1;60;6144;131072;write;72.91644;36636.0;502.4381
8;16;384;1;1;1;60;8192;131072;write;74.21447;11720.0;157.92068
1;8;96;1;0;1;60;1024;131072;write;60.63004;4796.0;79.1027
4;32;384;0;0;1;60;512;131072;write;61.74561;34943.5;565.9269
1;32;768;0;0;1;60;4096;131072;write;64.34704;33332.0;518.00366
2;16;768;0;0;1;60;1024;131072;write;61.38032;28174.0;459.00704
2;32;1536;1;1;1;60;512;131072;write;64.76502;4950.0;76.43015
4;8;384;1;0;1;60;128;131072;write;60.35175;15344.5;254.25112
4;32;1536;1;1;1;60;512;131072;write;74.41056;3369.0;45.27583
1;8;192;1;0;1;60;128;131072;write;60.0605;12434.5;207.03292
4;16;192;1;0;1;60;128;131072;write;60.30521;16844.125;279.31457
1;16;192;1;1;1;60;1024;131072;write;62.13751;3742.0;60.22128
2;8;96;1;1;1;60;128;131072;write;60.04686;11606.25;193.28654
8;32;768;0;0;1;60;1024;131072;write;60.34272;93949.0;1556.92349
1;32;384;0;0;1;60;512;131072;write;60.58202;7839.0;129.39483
1;16;768;0;0;1;60;512;131072;write;61.80168;6693.0;108.29803
4;16;768;0;0;1;60;4096;131072;write;53.89958;129024.0;2393.78497
8;8;384;1;1;1;60;512;131072;write;65.26707;970.0;14.86201
4;32;384;1;0;1;60;512;131072;write;68.05977;4179.5;61.40926
4;16;384;1;1;1;60;32;131072;write;60.01663;9091.53125;151.48352
8;16;768;0;0;1;60;1024;131072;write;60.59367;111155.0;1834.43244
4;16;192;1;1;1;60;128;131072;write;60.0675;12123.75;201.83542
4;8;192;1;1;1;60;4096;131072;write;65.58161;7316.0;111.55567
4;16;384;0;0;1;60;4096;131072;write;52.45393;130560.0;2489.0411
1;8;192;0;0;1;60;32;131072;write;60.0163;12808.65625;213.41962
1;16;384;0;0;1;60;128;131072;write;60.04019;31123.5;518.37778
4;32;384;1;0;1;60;128;131072;write;60.20306;19171.375;318.4452
8;8;192;0;0;1;60;32;131072;write;60.0635;67851.0;1129.65441
4;8;384;1;1;1;60;32;131072;write;60.09112;9876.40625;164.35716
2;16;384;1;1;1;60;8192;131072;write;74.07198;14384.0;194.18948
8;32;768;0;0;1;60;128;131072;write;42.50184;131040.0;3083.16072
4;16;384;1;1;1;60;4096;131072;write;66.91224;7248.0;108.32098
2;8;96;1;0;1;60;6144;131072;write;63.82625;7806.0;122.30078
8;8;192;1;1;1;60;32;131072;write;60.04567;5587.3125;93.05104
1;32;768;1;0;1;60;8192;131072;write;70.86976;12288.0;173.38848
2;32;768;0;0;1;60;512;131072;write;60.99144;10572.5;173.34399
8;8;96;1;1;1;60;1024;131072;write;62.28489;1862.0;29.89489
1;8;192;0;0;1;60;128;131072;write;60.0371;40644.375;676.98762
8;16;192;1;0;1;60;4096;131072;write;65.27956;8316.0;127.39056
2;32;384;1;0;1;60;512;131072;write;62.90069;3737.5;59.41906
2;32;384;1;0;1;60;32;131072;write;60.06849;14519.5625;241.71677
2;8;96;1;0;1;60;1024;131072;write;60.62713;7536.0;124.30078
4;8;96;1;1;1;60;6144;131072;write;65.21868;7830.0;120.05763
2;32;384;1;1;1;60;1024;131072;write;63.95829;5174.0;80.89647
4;8;384;1;1;1;60;128;131072;write;60.08947;17128.0;285.04163
8;16;768;0;0;1;60;6144;131072;write;27.40269;129024.0;4708.44279
8;16;384;1;0;1;60;4096;131072;write;67.51293;8764.0;129.81218
2;8;192;0;0;1;60;6144;131072;write;60.65555;73890.0;1218.19028
8;32;1536;0;0;1;60;128;131072;write;44.46785;130944.0;2944.6894
1;16;768;1;1;1;60;6144;131072;write;74.21801;9276.0;124.98315
2;8;384;1;1;1;60;4096;131072;write;66.09099;8880.0;134.36023
4;32;1536;1;1;1;60;1024;131072;write;70.57011;6743.0;95.55037
4;8;384;1;0;1;60;4096;131072;write;66.49151;9572.0;143.95822
1;8;96;1;1;1;60;8192;131072;write;65.04568;8520.0;130.98486
4;16;768;0;0;1;60;32;131072;write;60.02982;48333.65625;805.16076
2;16;384;1;1;1;60;512;131072;write;63.90861;2663.0;41.66888
2;32;768;0;0;1;60;1024;131072;write;61.07343;28606.0;468.38698
2;32;384;1;1;1;60;6144;131072;write;70.06688;8796.0;125.5372
1;32;768;0;0;1;60;1024;131072;write;61.30395;12906.0;210.52478
2;8;96;1;0;1;60;8192;131072;write;61.89435;10640.0;171.90583
2;16;192;1;1;1;60;512;131072;write;61.47275;3367.0;54.77223
8;8;192;1;1;1;60;1024;131072;write;63.36176;2094.0;33.04832
8;16;384;1;0;1;60;512;131072;write;63.13512;4127.0;65.36774
8;8;384;0;0;1;60;6144;131072;write;23.79371;129024.0;5422.60894
4;16;384;1;0;1;60;128;131072;write;60.25755;19655.0;326.18317
4;8;384;1;0;1;60;32;131072;write;60.1689;11457.96875;190.43009
1;8;384;1;1;1;60;4096;131072;write;62.36231;7660.0;122.8306
8;32;1536;1;1;1;60;32;131072;write;60.14837;8659.5;143.96899
2;8;192;0;0;1;60;8192;131072;write;60.47863;114768.0;1897.66211
4;16;384;1;1;1;60;8192;131072;write;71.46059;11544.0;161.54358
1;8;192;1;1;1;60;4096;131072;write;67.60361;5936.0;87.80596
8;16;768;0;0;1;60;8192;131072;write;17.01104;129024.0;7584.7203
2;32;384;1;0;1;60;8192;131072;write;63.73314;20752.0;325.60767
4;16;192;0;0;1;60;512;131072;write;60.32362;36653.5;607.6144
2;8;192;1;1;1;60;1024;131072;write;62.22755;3630.0;58.33429
2;8;192;0;0;1;60;6144;131072;write;60.52853;81912.0;1353.2792
8;32;384;1;0;1;60;4096;131072;write;68.77759;8228.0;119.632
4;8;192;1;0;1;60;512;131072;write;61.14595;4826.0;78.92592
8;32;768;1;1;1;60;6144;131072;write;83.31526;10494.0;125.95532
2;8;384;0;0;1;60;32;131072;write;60.12264;24512.65625;407.71093
2;16;384;1;0;1;60;512;131072;write;61.54616;5962.5;96.87851
2;8;384;1;1;1;60;32;131072;write;60.07248;9237.71875;153.77622
2;32;1536;1;0;1;60;8192;131072;write;83.9821;30600.0;364.36336
1;16;384;0;0;1;60;6144;131072;write;62.08876;41640.0;670.65279
1;32;1536;1;0;1;60;1024;131072;write;68.62234;1597.0;23.2723
4;8;192;1;1;1;60;8192;131072;write;67.43297;11400.0;169.05678
1;16;768;1;1;1;60;32;131072;write;60.17556;6820.125;113.33712
1;16;192;0;0;1;60;8192;131072;write;60.81367;55528.0;913.08423
